
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:61310        127.0.0.1:61311        ESTABLISHED     20764
  TCP    127.0.0.1:61311        127.0.0.1:61310        ESTABLISHED     20764
  TCP    127.0.0.1:61312        127.0.0.1:61313        ESTABLISHED     20460
  TCP    127.0.0.1:61313        127.0.0.1:61312        ESTABLISHED     20460
  TCP    127.0.0.1:61314        127.0.0.1:61315        ESTABLISHED     20460
  TCP    127.0.0.1:61315        127.0.0.1:61314        ESTABLISHED     20460
  TCP    127.0.0.1:61317        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61318        127.0.0.1:61319        ESTABLISHED     20764
  TCP    127.0.0.1:61319        127.0.0.1:61318        ESTABLISHED     20764
  TCP    127.0.0.1:61320        127.0.0.1:61321        ESTABLISHED     20764
  TCP    127.0.0.1:61321        127.0.0.1:61320        ESTABLISHED     20764
  TCP    127.0.0.1:61322        127.0.0.1:5037         ESTABLISHED     20764
  TCP    127.0.0.1:61323        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61324        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61326        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:61326        127.0.0.1:57266        ESTABLISHED     20764
  TCP    127.0.0.1:61326        127.0.0.1:57504        ESTABLISHED     20764
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:64560        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64562        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64563        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64566        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64567        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64569        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64570        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64573        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64574        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64575        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64581        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64750        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64758        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64759        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64767        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64768        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64769        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64770        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64772        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64773        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       7232
  TCP    127.0.0.1:65001        127.0.0.1:54025        ESTABLISHED     7232
  TCP    192.168.1.163:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.163:49599    114.250.68.38:443      TIME_WAIT       0
  TCP    192.168.1.163:49655    35.227.252.103:443     ESTABLISHED     24496
  TCP    192.168.1.163:49864    61.241.50.147:443      CLOSE_WAIT      15856
  TCP    192.168.1.163:49865    116.162.40.124:443     CLOSE_WAIT      15856
  TCP    192.168.1.163:49874    52.139.250.253:443     ESTABLISHED     12944
  TCP    192.168.1.163:49875    52.139.250.253:443     ESTABLISHED     25480
  TCP    192.168.1.163:50942    114.250.65.38:443      TIME_WAIT       0
  TCP    192.168.1.163:53572    114.250.64.38:443      TIME_WAIT       0
  TCP    192.168.1.163:53574    58.251.80.102:443      ESTABLISHED     18384
  TCP    192.168.1.163:53580    69.173.158.64:443      TIME_WAIT       0
  TCP    192.168.1.163:54714    140.82.112.26:443      ESTABLISHED     24496
  TCP    192.168.1.163:56426    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:56690    13.113.186.135:443     ESTABLISHED     24496
  TCP    192.168.1.163:56694    14.17.5.157:80         TIME_WAIT       0
  TCP    192.168.1.163:56703    202.89.233.100:443     ESTABLISHED     11692
  TCP    192.168.1.163:56856    116.162.40.126:443     CLOSE_WAIT      15856
  TCP    192.168.1.163:56857    61.241.37.105:443      CLOSE_WAIT      15856
  TCP    192.168.1.163:57139    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:57310    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:57315    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:57496    61.241.50.202:443      CLOSE_WAIT      15856
  TCP    192.168.1.163:59569    52.114.74.43:443       TIME_WAIT       0
  TCP    192.168.1.163:59570    58.251.149.17:80       CLOSE_WAIT      15856
  TCP    192.168.1.163:60758    114.250.68.38:443      TIME_WAIT       0
  TCP    192.168.1.163:61167    40.90.189.152:443      ESTABLISHED     7436
  TCP    192.168.1.163:61172    36.248.5.85:443        CLOSE_WAIT      15856
  TCP    192.168.1.163:62020    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:62234    114.250.67.38:443      TIME_WAIT       0
  TCP    192.168.1.163:63699    52.114.75.150:443      ESTABLISHED     12944
  TCP    192.168.1.163:64229    93.158.134.36:443      ESTABLISHED     24496
  TCP    192.168.1.163:64565    13.107.136.9:443       ESTABLISHED     12944
  TCP    192.168.1.163:64740    192.168.1.1:53         ESTABLISHED     3628
  TCP    192.168.1.163:64743    13.107.136.9:443       ESTABLISHED     12944
  TCP    192.168.1.163:64745    52.98.42.194:443       ESTABLISHED     11692
  TCP    192.168.1.163:64748    202.89.233.101:443     ESTABLISHED     11692
  TCP    192.168.1.163:64751    52.98.85.194:443       ESTABLISHED     11692
  TCP    192.168.1.163:64752    52.98.85.194:443       ESTABLISHED     11692
  TCP    192.168.1.163:64753    13.107.9.158:443       ESTABLISHED     11692
  TCP    192.168.1.163:64754    168.62.58.130:443      ESTABLISHED     11692
  TCP    192.168.1.163:64755    20.190.144.171:443     ESTABLISHED     11692
  TCP    192.168.1.163:64756    20.190.144.171:443     ESTABLISHED     11692
  TCP    192.168.1.163:64757    20.190.144.171:443     ESTABLISHED     11692
  TCP    192.168.1.163:64760    142.250.199.74:443     SYN_SENT        8464
  TCP    192.168.1.163:64761    13.107.6.254:443       ESTABLISHED     11692
  TCP    192.168.1.163:64762    204.79.197.254:443     ESTABLISHED     11692
  TCP    192.168.1.163:64763    13.107.54.254:443      ESTABLISHED     11692
  TCP    192.168.1.163:64764    204.79.197.222:443     ESTABLISHED     11692
  TCP    192.168.1.163:64765    40.126.35.80:443       ESTABLISHED     28980
  TCP    192.168.1.163:64766    142.250.199.74:443     SYN_SENT        8464
  TCP    192.168.1.163:64771    172.217.161.170:443    ESTABLISHED     8464
  TCP    192.168.1.163:65084    13.88.28.53:443        ESTABLISHED     24496
  TCP    192.168.100.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.174.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1184
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       8316
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:33060             [::]:0                 LISTENING       8316
  TCP    [::]:49664             [::]:0                 LISTENING       840
  TCP    [::]:49665             [::]:0                 LISTENING       380
  TCP    [::]:49666             [::]:0                 LISTENING       1996
  TCP    [::]:49667             [::]:0                 LISTENING       2304
  TCP    [::]:49668             [::]:0                 LISTENING       3084
  TCP    [::]:49670             [::]:0                 LISTENING       6140
  TCP    [::]:49680             [::]:0                 LISTENING       6728
  TCP    [::]:49688             [::]:0                 LISTENING       812
  UDP    0.0.0.0:500            *:*                                    6716
  UDP    0.0.0.0:3600           *:*                                    18636
  UDP    0.0.0.0:3702           *:*                                    9064
  UDP    0.0.0.0:3702           *:*                                    9064
  UDP    0.0.0.0:4001           *:*                                    15856
  UDP    0.0.0.0:4500           *:*                                    6716
  UDP    0.0.0.0:5050           *:*                                    4148
  UDP    0.0.0.0:5353           *:*                                    3628
  UDP    0.0.0.0:5353           *:*                                    24496
  UDP    0.0.0.0:5353           *:*                                    5324
  UDP    0.0.0.0:5353           *:*                                    24496
  UDP    0.0.0.0:5353           *:*                                    5324
  UDP    0.0.0.0:5353           *:*                                    5324
  UDP    0.0.0.0:5353           *:*                                    24496
  UDP    0.0.0.0:5355           *:*                                    3628
  UDP    0.0.0.0:6000           *:*                                    16864
  UDP    0.0.0.0:6666           *:*                                    21188
  UDP    0.0.0.0:49224          *:*                                    6768
  UDP    0.0.0.0:49316          *:*                                    24496
  UDP    0.0.0.0:49317          *:*                                    24496
  UDP    0.0.0.0:49668          *:*                                    6768
  UDP    0.0.0.0:49671          *:*                                    7180
  UDP    0.0.0.0:49673          *:*                                    9064
  UDP    0.0.0.0:50136          *:*                                    6768
  UDP    0.0.0.0:50599          *:*                                    6768
  UDP    0.0.0.0:52166          *:*                                    6768
  UDP    0.0.0.0:52193          *:*                                    6768
  UDP    0.0.0.0:52293          *:*                                    7180
  UDP    0.0.0.0:53049          *:*                                    6768
  UDP    0.0.0.0:53271          *:*                                    6768
  UDP    0.0.0.0:53529          *:*                                    6768
  UDP    0.0.0.0:54173          *:*                                    6768
  UDP    0.0.0.0:54393          *:*                                    6768
  UDP    0.0.0.0:56086          *:*                                    6768
  UDP    0.0.0.0:56284          *:*                                    6768
  UDP    0.0.0.0:57522          *:*                                    7232
  UDP    0.0.0.0:58324          *:*                                    6768
  UDP    0.0.0.0:59956          *:*                                    6768
  UDP    0.0.0.0:60731          *:*                                    20764
  UDP    0.0.0.0:60891          *:*                                    6768
  UDP    0.0.0.0:61734          *:*                                    6768
  UDP    0.0.0.0:62284          *:*                                    6768
  UDP    0.0.0.0:62482          *:*                                    6768
  UDP    0.0.0.0:62653          *:*                                    15856
  UDP    0.0.0.0:63631          *:*                                    6768
  UDP    0.0.0.0:63762          *:*                                    6768
  UDP    0.0.0.0:64522          *:*                                    17104
  UDP    127.0.0.1:1900         *:*                                    4060
  UDP    127.0.0.1:10010        *:*                                    13792
  UDP    127.0.0.1:10011        *:*                                    11860
  UDP    127.0.0.1:49670        *:*                                    7112
  UDP    127.0.0.1:54409        *:*                                    15856
  UDP    127.0.0.1:54410        *:*                                    15856
  UDP    127.0.0.1:54411        *:*                                    15856
  UDP    127.0.0.1:54412        *:*                                    15856
  UDP    127.0.0.1:54413        *:*                                    15856
  UDP    127.0.0.1:54414        *:*                                    15856
  UDP    127.0.0.1:55162        *:*                                    4060
  UDP    127.0.0.1:57802        *:*                                    15856
  UDP    127.0.0.1:57803        *:*                                    15856
  UDP    127.0.0.1:64538        *:*                                    11928
  UDP    192.168.1.163:137      *:*                                    4
  UDP    192.168.1.163:138      *:*                                    4
  UDP    192.168.1.163:1900     *:*                                    4060
  UDP    192.168.1.163:5353     *:*                                    6768
  UDP    192.168.1.163:5353     *:*                                    7232
  UDP    192.168.1.163:55164    *:*                                    4060
  UDP    192.168.100.1:137      *:*                                    4
  UDP    192.168.100.1:138      *:*                                    4
  UDP    192.168.100.1:1900     *:*                                    4060
  UDP    192.168.100.1:5353     *:*                                    6768
  UDP    192.168.100.1:5353     *:*                                    7232
